"gym_number","region","location","specialty","description","gym_leader","team","badge","obedience","tm","hm_unlock"
"1","Johto","Violet City","Flying","The first gym you encounter is the Violet City gym. You can only access this gym after you have defeated the Sages in the Sprout Tower. This gym features a massive wooden lift which will take you upwards to a massive platform high up shaped like the letter S. It also has a transparent border around it. On this platform, there are two trainers you can face or evade them. Once you reach the end of the platform, you will encounter the Violet City Gym Leader; Falkner","Falkner","[{'pokemon': 'Pidgey', 'level': 9}, {'pokemon': 'Pidgeotto', 'level': 13}]","Zephyr Badge","","TM51","Can now use HM06 - Rock Smash in the field"
"2","Johto","Azalea Town","Bug","After you .have removed Team Rocket from Azalea Town, you have access to the Azalea Gym. This Gym features a change in the mechanics since Gold & Silver. This time, you are faced with a chasm where there are three karts to ride on. These karts travel along webs, turning at every junction. Your task is to get  onto the kart that will take you to the middle path. The other karts will take you to an area where you're confronted by a single trainer or faced with an obstacle preventing further progress. Once you reach the end of the Gym, you will encounter the Azalea Town Gym Leader; Bugsy","Bugsy","[{'pokemon': 'Metapod', 'level': 15}, {'pokemon': 'Kakuna', 'level': 15}, {'pokemon': 'Scyther', 'level': 17}]","Hive Badge","","TM89","Can now use HM01 - Cut in the field"
"3","Johto","Goldenrod City","Normal","As soon as you enter Goldenrod City, you have find that the Goldenrod Gym is locked. To gain access to it, you will need to get the Radio Card from the Radio Tower and speak to Whitney there. Once done, the gym is open. Like its appearance in the original games, the floor of the gym is shaped like a Clefairy. However, this time, the Clefairy is raised and you have to make your way around the top of it facing trainers as you go. Once you reach the end of the Gym, you will encounter the Goldenrod City Gym Leader; Whitney","Whitney","[{'pokemon': 'Clefairy', 'level': 17}, {'pokemon': 'Miltank', 'level': 19}]","Plain Badge","","TM45","Can now use HM04 - Strength in the field"
"4","Johto","Ecruteak City","Ghost","As soon as you enter Ecruteak City, you will find that the Ecruteak Gym is also locked. In order to gain access to it, you need to find Morty in the Burned Tower. There with Eusine, he will talk about the Legendary Pokémon. Go to the basement and release Entei, Raikou & Suicune and Morty will go to the gym. Like its appearance in the original games, the gym requires you to go across a thin path in the dark. Unlike the previous games however, the entire gym is dark with lights only around the trainers. If you fall off of the path, you will have to restart. Once you reach the end of the Gym, you will encounter the EcruteakCity Gym Leader; Morty","Morty","[{'pokemon': 'Gastly', 'level': 21}, {'pokemon': 'Haunter', 'level': 21}, {'pokemon': 'Haunter', 'level': 23}, {'pokemon': 'Gengar', 'level': 25}]","Fog Badge","","TM30","Can now use HM03 - Surf in the field"
"5","Johto","Cianwood City","Fighting","Heading to Cianwood City to get the SecretPotion to heal the Ampharos at the Olivine Lighthouse, you'll have immediate access to the Cianwood City Gym. Unlike the previous games, this time you have to navigate through a small maze around cliff areas in order to get the Waterfall falling on top of Chuck to stop. These valves are at the top and you have to face all trainers in order to do it. Once you reach the end of the Gym, you will encounter the Cianwood City Gym Leader; Chuck","Chuck","[{'pokemon': 'Primeape', 'level': 29}, {'pokemon': 'Poliwrath', 'level': 31}]","Storm Badge","","TM01","Can now use HM02 - Fly in the field"
"6","Johto","Olivine City","Steel","After you have received the SecretPotion, returned to Olivine Lighthouse and healed the Ampharos, you'll have access to the Olivine City Gym. Like the previous games, Olivine City gym is relatively sparce, featuring no extra trainers in it. Once you reach the end of the Gym, you will encounter the Olivine City Gym Leader; Jasmine","Jasmine","[{'pokemon': 'Magnemite', 'level': 30}, {'pokemon': 'Magnemite', 'level': 30}, {'pokemon': 'Steelix', 'level': 35}]","Mineral Badge","","TM23",""
"7","Johto","Mahogany Town","Ice","After you have defeated Team Rocket in Mahogany Town and at the Lake of Rage, you'll have access to the Mahogany Town Gym. This gym has several rooms inside it, each with various Ice Puzzles you need to navigate to get to the end, fighting trainers enroute. Once you reach the end of the Gym, you will encounter the Mahogany Town Gym Leader; Pryce","Pryce","[{'pokemon': 'Seel', 'level': 30}, {'pokemon': 'Dewgong', 'level': 32}, {'pokemon': 'Piloswine', 'level': 34}]","Glacier Badge","","TM07","Can now use HM05 - Whirlpool in the field"
"8","Johto","Blackthorn City","Dragon","After you have defeated Team Rocket in Goldenrod City and make it through the Ice Cave, you'll have access to the Blackthorn City Gym. Unlike the previous games, the Blackthorn City gym features a specific maze featuring platforms you need to move and rotate in order to get the path you desire. Once you reach the end of the Gym, you will encounter the Blackthorn City Gym Leader; Clair. However, after battling, you won't go to the badge and will have to make your way through the Dragon's Den before you can get it","Clair","[{'pokemon': 'Dragonair', 'level': 38}, {'pokemon': 'Dragonair', 'level': 38}, {'pokemon': 'Gyarados', 'level': 38}, {'pokemon': 'Kingdra', 'level': 41}]","Rising Badge","","TM59","Can now use HM07 - Waterfall in the field"
"1","Kanto","Vermillion City","Electric","The first gym within the land of Kanto that you are likely to encounter is the Vermillion City Gym. Like the previous games, the Vermillion City gym features several bings which feature switches within them to turn off a forcefield protecting the leader. Once you reach the end of the Gym, you will encounter the Vermillion City Gym Leader; Lt. Surge","Lt. Surge","[{'pokemon': 'Raichu', 'level': 51}, {'pokemon': 'Electrode', 'level': 47}, {'pokemon': 'Electrode', 'level': 47}, {'pokemon': 'Magneton', 'level': 47}, {'pokemon': 'Electabuzz', 'level': 53}]","Thunder Badge","","TM34",""
"2","Kanto","Saffron City","Psychic","The next gym you'll find is likely to be the Saffron City gym within Saffron City. Like the previous games, the Saffron City gym features a Warp Tile puzzle where you need to find your way to Sabrina via the Warp tiles.  Once you reach the end of the Gym, you will encounter the Saffron City Gym Leader; Sabrina","Sabrina","[{'pokemon': 'Espeon', 'level': 53}, {'pokemon': 'Mr. Mime', 'level': 53}, {'pokemon': 'Alakazam', 'level': 55}]","Marsh Badge","","TM48",""
"3","Kanto","Celadon City","Grass","The next gym you'll find is likely to be the Celadon City Gym. Unlike the previous games, the Celadon City gym features a pseudomaze set up by various passages with flowers growing on them. You have to navigate your way around to the gym leader. Once you reach the end of the Gym, you will encounter the CeladonCity Gym Leader; Erika","Erika","[{'pokemon': 'Jumpluff', 'level': 51}, {'pokemon': 'Tangela', 'level': 52}, {'pokemon': 'Victreebel', 'level': 56}, {'pokemon': 'Bellossom', 'level': 56}]","RainbowBadge","","TM19",""
"4","Kanto","Cerulean City","Water","The next gym you'll find is likely to be the Cerulean City Gym. However, Misty will not be found at the gym so you'll have to go find her up at Route 25. Unlike the previous games, the Cerulean City gym features a full swimming pool with trainers you have to surf around. Alternatively, you could just walk around the edge Once you reach the end of the Gym, you will encounter the Cerulean City Gym Leader; Misty","Misty","[{'pokemon': 'Golduck', 'level': 49}, {'pokemon': 'Quagsire', 'level': 49}, {'pokemon': 'Lapras', 'level': 52}, {'pokemon': 'Starmie', 'level': 54}]","CascadeBadge","","TM03",""
