,TM,Move,Type,Category,Power,Accuracy,PP,Location,Effect
0,01,Focus Punch,Fighting,Physical,150,100,20,['Cianwood City (Gym - defeat Chuck)'],The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
1,02,Dragon Claw,Dragon,Physical,80,100,15,"['Route 27', 'Goldenrod City (Lottery - Sunday)']",The user slashes the target with huge sharp claws.
2,03,Water Pulse,Water,Special,60,100,20,['Cerulean City (Gym - defeat Misty)'],The user attacks the target with a pulsing blast of water. This may also confuse the target.
3,04,Calm Mind,Psychic,Status,—,—,20,['Battle Frontier (48 BP)'],The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
4,05,Roar,Normal,Status,—,—,20,['Route 32'],"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
5,06,Toxic,Poison,Status,—,90,10,['Battle Frontier (32 BP)'],A move that leaves the target badly poisoned. Its poison damage worsens every turn.
6,07,Hail,Ice,Status,—,—,10,['Mahogany Town (Gym - defeat Pryce)'],The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.
7,08,Bulk Up,Fighting,Status,—,—,20,['Battle Frontier (48 BP)'],"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats."
8,09,Bullet Seed,Grass,Physical,25,100,30,['Route 32'],The user forcefully shoots seeds at the target two to five times in a row.
9,10,Hidden Power,Normal,Special,60,100,15,"['Lake of Rage', 'Celadon City (Game Corner - 6,000 Coins)']",A unique attack that varies in type depending on the Pokémon using it.
10,11,Sunny Day,Fire,Status,—,—,5,['Goldenrod Radio Tower (3F - from woman after defeating Team Rocket)'],"The user intensifies the sun for five turns, powering up Fire-type moves. It lowers the power of Water-type moves."
11,12,Taunt,Dark,Status,—,100,20,"['Ilex Forest (north gate)', 'Burned Tower', 'Celadon City (Department Store - $1,500)']",The target is taunted into a rage that allows it to use only attack moves for three turns.
12,13,Ice Beam,Ice,Special,90,100,10,"['Seafoam Islands (B4F)', 'Goldenrod City (Game Corner - 10,000 Coins)']",The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
13,14,Blizzard,Ice,Special,110,70,5,"['Goldenrod City (Department Store - $5,500)']",A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
14,15,Hyper Beam,Normal,Special,150,90,5,"['Goldenrod City (Department Store - $7,500)']",The target is attacked with a powerful beam. The user can’t move on the next turn.
15,16,Light Screen,Psychic,Status,—,—,30,"['Goldenrod City (Department Store - $2,000)']",A wondrous wall of light is put up to reduce damage from special attacks for five turns.
16,17,Protect,Normal,Status,—,—,10,"['Goldenrod City (Department Store - $2,000)']",This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
17,18,Rain Dance,Water,Status,—,—,5,['Slowpoke Well'],"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves."
18,19,Giga Drain,Grass,Special,75,100,10,['Celadon City (Gym - defeat Erika)'],A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
19,20,Safeguard,Normal,Status,—,—,25,"['Celadon City (Department Store - $2,000)']",The user creates a protective field that prevents status conditions for five turns.
20,21,Frustration,Normal,Physical,—,100,20,"['Goldenrod City (Department Store - show lady unhappy Pokémon)', 'Celadon City (Department Store - $1,000)']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
21,22,Solar Beam,Grass,Special,120,100,10,"['Goldenrod City (Department Store - $3,000)']","In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
22,23,Iron Tail,Steel,Physical,100,75,15,['Olivine City (Gym - defeat Jasmine)'],The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.
