,Name,Effect
0,Adaptability,Powers up moves of the same type.
1,Aftermath,Damages the attacker landing the finishing hit.
2,Air Lock,Eliminates the effects of weather.
3,Anger Point,Maxes Attack after taking a critical hit.
4,Anticipation,Senses a foe's dangerous moves.
5,Arena Trap,Prevents the foe from fleeing.
6,Bad Dreams,Reduces a sleeping foe's HP.
7,Battle Armor,The Pokémon is protected against critical hits.
8,Blaze,Powers up Fire-type moves in a pinch.
9,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
10,Clear Body,Prevents other Pokémon from lowering its stats.
11,Cloud Nine,Eliminates the effects of weather.
12,Color Change,Changes the Pokémon's type to the foe's move.
13,Compound Eyes,The Pokémon's accuracy is boosted.
14,Cute Charm,Contact with the Pokémon may cause infatuation.
15,Damp,Prevents the use of self-destructing moves.
16,Download,Adjusts power according to a foe's defenses.
17,Drizzle,The Pokémon makes it rain when it enters a battle.
18,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
19,Dry Skin,Reduces HP if it is hot. Water restores HP.
20,Early Bird,The Pokémon awakens quickly from sleep.
21,Effect Spore,Contact may poison or cause paralysis or sleep.
22,Filter,Reduces damage from super-effective attacks.
23,Flame Body,Contact with the Pokémon may burn the attacker.
24,Flash Fire,It powers up Fire-type moves if it's hit by one.
25,Flower Gift,Powers up party Pokémon when it is sunny.
26,Forecast,Castform transforms with the weather.
27,Forewarn,Determines what moves a foe has.
28,Frisk,The Pokémon can check a foe's held item.
29,Gluttony,Encourages the early use of a held Berry.
30,Guts,Boosts Attack if there is a status problem.
31,Heatproof,Weakens the power of Fire-type moves.
32,Honey Gather,The Pokémon may gather Honey from somewhere.
33,Huge Power,Raises the Pokémon's Attack stat.
34,Hustle,"Boosts the Attack stat, but lowers accuracy."
35,Hydration,Heals status problems if it is raining.
36,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.
37,Ice Body,The Pokémon gradually regains HP in a hailstorm.
38,Illuminate,Raises the likelihood of meeting wild Pokémon.
39,Immunity,Prevents the Pokémon from getting poisoned.
40,Inner Focus,The Pokémon is protected from flinching.
