Egg Group,Pokemon
bug,"['Caterpie', 'Metapod', 'Butterfree', 'Weedle', 'Kakuna', 'Beedrill', 'Paras', 'Parasect', 'Venonat', 'Venomoth', 'Scyther', 'Pinsir', 'Ledyba', 'Ledian', 'Spinarak', 'Ariados', 'Yanma', 'Pineco', 'Forretress', 'Gligar', 'Scizor', 'Shuckle', 'Heracross', 'Wurmple', 'Silcoon', 'Beautifly', 'Cascoon', 'Dustox', 'Surskit', 'Masquerain', 'Nincada', 'Ninjask', 'Volbeat', 'Illumise', 'Trapinch', 'Vibrava', 'Flygon', 'Kricketot', 'Kricketune', 'Burmy', 'Wormadam', 'Mothim', 'Combee', 'Vespiquen', 'Skorupi', 'Drapion', 'Yanmega', 'Gliscor']"
ditto,['Ditto']
dragon,"['Charmander', 'Charmeleon', 'Charizard', 'Ekans', 'Arbok', 'Horsea', 'Seadra', 'Magikarp', 'Gyarados', 'Dratini', 'Dragonair', 'Dragonite', 'Kingdra', 'Treecko', 'Grovyle', 'Sceptile', 'Swablu', 'Altaria', 'Seviper', 'Feebas', 'Milotic', 'Bagon', 'Shelgon', 'Salamence', 'Gible', 'Gabite', 'Garchomp']"
fairy,"['Pikachu', 'Raichu', 'Clefairy', 'Clefable', 'Jigglypuff', 'Wigglytuff', 'Chansey', 'Togetic', 'Marill', 'Azumarill', 'Hoppip', 'Skiploom', 'Jumpluff', 'Snubbull', 'Granbull', 'Blissey', 'Shroomish', 'Breloom', 'Skitty', 'Delcatty', 'Mawile', 'Plusle', 'Minun', 'Roselia', 'Castform', 'Snorunt', 'Glalie', 'Roserade', 'Pachirisu', 'Cherubi', 'Cherrim', 'Togekiss', 'Froslass', 'Phione', 'Manaphy']"
flying,"['Pidgey', 'Pidgeotto', 'Pidgeot', 'Spearow', 'Fearow', 'Zubat', 'Golbat', ""Farfetch'd"", 'Doduo', 'Dodrio', 'Aerodactyl', 'Hoothoot', 'Noctowl', 'Crobat', 'Togetic', 'Natu', 'Xatu', 'Murkrow', 'Skarmory', 'Taillow', 'Swellow', 'Wingull', 'Pelipper', 'Swablu', 'Altaria', 'Starly', 'Staravia', 'Staraptor', 'Honchkrow', 'Chatot', 'Togekiss']"
ground,"['Rattata', 'Raticate', 'Ekans', 'Arbok', 'Pikachu', 'Raichu', 'Sandshrew', 'Sandslash', 'Nidoran♀', 'Nidoran♂', 'Nidorino', 'Nidoking', 'Vulpix', 'Ninetales', 'Diglett', 'Dugtrio', 'Meowth', 'Persian', 'Psyduck', 'Golduck', 'Mankey', 'Primeape', 'Growlithe', 'Arcanine', 'Ponyta', 'Rapidash', ""Farfetch'd"", 'Seel', 'Dewgong', 'Rhyhorn', 'Rhydon', 'Tauros', 'Eevee', 'Vaporeon', 'Jolteon', 'Flareon', 'Cyndaquil', 'Quilava', 'Typhlosion', 'Sentret', 'Furret', 'Mareep', 'Flaaffy', 'Ampharos', 'Aipom', 'Wooper', 'Quagsire', 'Espeon', 'Umbreon', 'Girafarig', 'Dunsparce', 'Snubbull', 'Granbull', 'Sneasel', 'Teddiursa', 'Ursaring', 'Swinub', 'Piloswine', 'Delibird', 'Houndour', 'Houndoom', 'Phanpy', 'Donphan', 'Stantler', 'Smeargle', 'Miltank', 'Torchic', 'Combusken', 'Blaziken', 'Poochyena', 'Mightyena', 'Zigzagoon', 'Linoone', 'Seedot', 'Nuzleaf', 'Shiftry', 'Slakoth', 'Vigoroth', 'Slaking', 'Whismur', 'Loudred', 'Exploud', 'Skitty', 'Delcatty', 'Mawile', 'Electrike', 'Manectric', 'Wailmer', 'Wailord', 'Numel', 'Camerupt', 'Torkoal', 'Spoink', 'Grumpig', 'Spinda', 'Zangoose', 'Seviper', 'Kecleon', 'Absol', 'Spheal', 'Sealeo', 'Walrein', 'Chimchar', 'Monferno', 'Infernape', 'Piplup', 'Prinplup', 'Empoleon', 'Bidoof', 'Bibarel', 'Shinx', 'Luxio', 'Luxray', 'Pachirisu', 'Buizel', 'Floatzel', 'Ambipom', 'Buneary', 'Lopunny', 'Glameow', 'Purugly', 'Stunky', 'Skuntank', 'Lucario', 'Hippopotas', 'Hippowdon', 'Weavile', 'Rhyperior', 'Leafeon', 'Glaceon', 'Mamoswine']"
humanshape,"['Abra', 'Kadabra', 'Alakazam', 'Machop', 'Machoke', 'Machamp', 'Drowzee', 'Hypno', 'Hitmonlee', 'Hitmonchan', 'Mr. Mime', 'Jynx', 'Electabuzz', 'Magmar', 'Hitmontop', 'Makuhita', 'Hariyama', 'Sableye', 'Meditite', 'Medicham', 'Volbeat', 'Illumise', 'Spinda', 'Cacnea', 'Cacturne', 'Chimchar', 'Monferno', 'Infernape', 'Buneary', 'Lopunny', 'Lucario', 'Croagunk', 'Toxicroak', 'Electivire', 'Magmortar']"
indeterminate,"['Grimer', 'Muk', 'Gastly', 'Haunter', 'Gengar', 'Koffing', 'Weezing', 'Misdreavus', 'Wobbuffet', 'Slugma', 'Magcargo', 'Ralts', 'Kirlia', 'Gardevoir', 'Gulpin', 'Swalot', 'Castform', 'Shuppet', 'Banette', 'Duskull', 'Dusclops', 'Chimecho', 'Shellos', 'Gastrodon', 'Drifloon', 'Drifblim', 'Mismagius', 'Spiritomb', 'Gallade', 'Dusknoir', 'Rotom']"
mineral,"['Geodude', 'Graveler', 'Golem', 'Magnemite', 'Magneton', 'Onix', 'Voltorb', 'Electrode', 'Porygon', 'Sudowoodo', 'Steelix', 'Porygon2', 'Shedinja', 'Nosepass', 'Lunatone', 'Solrock', 'Baltoy', 'Claydol', 'Snorunt', 'Glalie', 'Beldum', 'Metang', 'Metagross', 'Bronzor', 'Bronzong', 'Magnezone', 'Porygon-Z', 'Probopass', 'Froslass']"
monster,"['Bulbasaur', 'Ivysaur', 'Venusaur', 'Charmander', 'Charmeleon', 'Charizard', 'Squirtle', 'Wartortle', 'Blastoise', 'Nidoran♀', 'Nidoran♂', 'Nidorino', 'Nidoking', 'Slowpoke', 'Slowbro', 'Cubone', 'Marowak', 'Lickitung', 'Rhyhorn', 'Rhydon', 'Kangaskhan', 'Lapras', 'Snorlax', 'Chikorita', 'Bayleef', 'Meganium', 'Totodile', 'Croconaw', 'Feraligatr', 'Mareep', 'Flaaffy', 'Ampharos', 'Slowking', 'Larvitar', 'Pupitar', 'Tyranitar', 'Treecko', 'Grovyle', 'Sceptile', 'Mudkip', 'Marshtomp', 'Swampert', 'Whismur', 'Loudred', 'Exploud', 'Aron', 'Lairon', 'Aggron', 'Tropius', 'Turtwig', 'Grotle', 'Torterra', 'Cranidos', 'Rampardos', 'Shieldon', 'Bastiodon', 'Gible', 'Gabite', 'Garchomp', 'Snover', 'Abomasnow', 'Lickilicky', 'Rhyperior']"
