Item,Effect,Location
Antidote,A spray-type medicine. It lifts the effect of poison from one Pokémon.,"Johto: Route 30 , Goldenrod City (With Dowsing MCHN) (Dept. Store Basement) , Ilex Forest , Ilex Forest (With Dowsing MCHN) , Burnt Tower , Burnt Tower (With Dowsing MCHN) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Rugged Road (500+ Steps) , Rally (100+ Steps)"
Awakening,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.,"Johto: Route 36 (With Dowsing MCHN) , Union Cave Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Refreshing Field (700+ Steps)"
Berry Juice,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.,Held by Shuckle from Cianwood City
Burn Heal,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.,"Johto: Goldenrod City (Dept. Store Basement) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Refreshing Field (1000+ Steps) , Rugged Road (800+ Steps)"
Elixir,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.,"Johto: Route 44 (With Dowsing MCHN) , Route 45 , Union Cave , Mt. Mortar , Mt. Mortar , Dark Cave (With Dowsing MCHN) Kanto: Route 2 , Route 9 (With Dowsing MCHN) , Route 12 (With Dowsing MCHN) , Rock Tunnel Pokéwalker : Dim Cave (3500+ Steps) , Quiet Cave (0+ Steps) , Rally (800+ Steps)"
Energy Root,A very bitter root. It restores the HP of one Pokémon by 200 points.,"Johto: Ruins of Alph (Bottom Right Ruins) Shop : Johto : Goldenrod Underground Pokéwalker : Noisy Forest (900+ Steps) , Treehouse (100+ Steps) , Sightseeing (3500+ Steps)"
EnergyPowder,A very bitter medicine powder. It restores the HP of one Pokémon by 50 points.,"Johto: Ruins of Alph (Right Ruins) Shop : Johto : Goldenrod Underground Pokéwalker : Treehouse (0+ Steps) , Sightseeing (3000+ Steps)"
Ether,It restores the PP of a Pokémon's selected move by a maximum of 10 points.,"Johto: Goldenrod City (Dept. Store Basement) , Ecruteak City (With Dowsing MCHN) , Ilex Forest , Ilex Forest (With Dowsing MCHN) , Mt. Mortar , Burnt Tower (With Dowsing MCHN) , Shining Lighthouse Pokéwalker : Noisy Forest (1000+ Steps) , Dim Cave (700+ Steps) , Treehouse (2000+ Steps)"
Fresh Water,Water with a high mineral content. It restores the HP of one Pokémon by 50 points.,"Shop : Johto : Goldenrod City , Pokeathlon Dome Kanto : Celadon City , Mt. Moon Pokéwalker : Beautiful Beach (0+ Steps) , Blue Lake (0+ Steps) , Warm Beach (0+ Steps) , Stormy Beach (0+ Steps) , Resort (0+ Steps) , Sightseeing (2200+ Steps) , Amity Meadow (0+ Steps)"
Full Heal,A spray-type medicine. It heals all the status problems of a single Pokémon.,"Johto: Route 45 , Azalea Town , Olivine City (With Dowsing MCHN) , Slowpoke Well , Ilex Forest (With Dowsing MCHN) , National Park (With Dowsing MCHN) , Mt. Mortar (With Dowsing MCHN) , Tin Tower , Tin Tower , Dark Cave , Lake of Rage (Low Tide) , Ice Path , Rocket Hideout (With Dowsing MCHN) , Rocket Hideout , Goldenrod Underground Kanto: Vermillion City (With Dowsing MCHN) , Cerulean Cave (With Dowsing MCHN) , Victory Road Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Cianwood City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Refreshing Field (2000+ Steps) , Rugged Road (1500+ Steps) , Beautiful Beach (1500+ Steps) , Sinnoh Field (1000+ Steps) , Icy Mountain Rd. (100+ Steps)"
Full Restore,A medicine that fully restores the HP and heals any status problems of a single Pokémon.,"Johto: Radio Tower (Earn 3 Points at Buena's Password) , Mt. Mortar (With Dowsing MCHN) , Mt. Mortar , Tin Tower (With Dowsing MCHN) , Tin Tower , Whirl Islands , Whirl Islands , Whirl Islands (With Dowsing MCHN) , Mt. Silver (With Dowsing MCHN) , Mt. Silver , Lake of Rage (Low Tide) Kanto: Route 5 , Route 9 , Viridian Forest (With Dowsing MCHN) , Cerulean Cave , Victory Road Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Pokeathlon Dome , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Sinnoh Field (4000+ Steps)"
Heal Powder,A very bitter medicine powder. It heals all the status problems of a single Pokémon.,"Johto: Ruins of Alph (Right Ruins) , Ruins of Alph (Bottom Right Ruins) Shop : Johto : Goldenrod Underground Pokéwalker : Treehouse (500+ Steps)"
Hyper Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by 200 points.,"Johto: Route 36 , Route 40 , New Bark Town (Mom's Savings) , Violet City (With Dowsing MCHN) , Ecruteak City (With Dowsing MCHN) , Union Cave , Mt. Mortar (With Dowsing MCHN) , Mt. Mortar (With Dowsing MCHN) , Mt. Mortar , Dark Cave , Mt. Silver (With Dowsing MCHN) , Mt. Silver (With Dowsing MCHN) , Rocket Hideout , Shining Lighthouse (With Dowsing MCHN) Kanto: Route 3 (With Dowsing MCHN) , Cerulean Cave (With Dowsing MCHN) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Cianwood City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Dim Cave (1000+ Steps) , Sinnoh Field (1500+ Steps)"
Ice Heal,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.,"Johto: Ice Path (With Dowsing MCHN) Kanto: Seafoam Islands , Seafoam Islands (With Dowsing MCHN) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Refreshing Field (900+ Steps) , Volcano Path (100+ Steps)"
Lava Cookie,Lavaridge Town's local specialty. It heals all the status problems of one Pokémon.,"Pokéwalker: Volcano Path (3000+ Steps) , Sightseeing (1000+ Steps)"
Lemonade,A very sweet drink. It restores the HP of one Pokémon by 80 points.,"Shop : Johto : Goldenrod City , Pokeathlon Dome Kanto : Celadon City , Mt. Moon Pokéwalker : Resort (500+ Steps) , Sightseeing (1400+ Steps) , Amity Meadow (600+ Steps)"
Max Elixir,It fully restores the PP of all the moves learned by the targeted Pokémon.,"Johto: Mt. Silver Kanto: Route 17 (With Dowsing MCHN) , Cerulean Cave Pokéwalker : Treehouse (4000+ Steps) , Quiet Cave (4500+ Steps)"
