,Move,Type,Category,Power,Accuracy,PP,Effect
0,Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.
1,Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.
2,Acid Armor,Poison,Status,—,—,20,Sharply raises user's Defense.
3,Agility,Psychic,Status,—,—,30,Sharply raises user's Speed.
4,Amnesia,Psychic,Status,—,—,20,Sharply raises user's Special Defense.
5,Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.
6,Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
7,Barrier,Psychic,Status,—,—,20,Sharply raises user's Defense.
8,Bide,Normal,Physical,—,—,10,User takes damage for two turns then strikes back double.
9,Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns."
10,Bite,Dark,Physical,60,100,25,May cause flinching.
11,Blizzard,Ice,Special,110,70,5,May freeze opponent.
12,Body Slam,Normal,Physical,85,100,15,May paralyze opponent.
13,Bone Club,Ground,Physical,65,85,20,May cause flinching.
14,Bonemerang,Ground,Physical,50,90,10,Hits twice in one turn.
15,Bubble,Water,Special,40,100,30,May lower opponent's Speed.
16,Bubble Beam,Water,Special,65,100,20,May lower opponent's Speed.
17,Clamp,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
18,Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.
19,Confuse Ray,Ghost,Status,—,100,10,Confuses opponent.
20,Confusion,Psychic,Special,50,100,25,May confuse opponent.
21,Constrict,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.
22,Conversion,Normal,Status,—,—,30,Changes user's type to that of its first move.
23,Counter,Fighting,Physical,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
24,Crabhammer,Water,Physical,100,90,10,High critical hit ratio.
25,Cut,Normal,Physical,50,95,30,
26,Defense Curl,Normal,Status,—,—,40,Raises user's Defense.
27,Dig,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
28,Disable,Normal,Status,—,100,20,Opponent can't use its last attack for a few turns.
29,Dizzy Punch,Normal,Physical,70,100,10,May confuse opponent.
30,Double Kick,Fighting,Physical,30,100,30,Hits twice in one turn.
31,Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.
32,Double Team,Normal,Status,—,—,15,Raises user's Evasiveness.
33,Double-Edge,Normal,Physical,120,100,15,User receives recoil damage.
34,Dragon Rage,Dragon,Special,—,100,10,Always inflicts 40 HP.
35,Dream Eater,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
36,Drill Peck,Flying,Physical,80,100,20,
37,Earthquake,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.
38,Egg Bomb,Normal,Physical,100,75,10,
39,Ember,Fire,Special,40,100,25,May burn opponent.
40,Explosion,Normal,Physical,250,100,5,User faints.
41,Fire Blast,Fire,Special,110,85,5,May burn opponent.
42,Fire Punch,Fire,Physical,75,100,15,May burn opponent.
43,Fire Spin,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
44,Fissure,Ground,Physical,—,30,5,"One-Hit-KO, if it hits."
45,Flamethrower,Fire,Special,90,100,15,May burn opponent.
46,Flash,Normal,Status,—,100,20,Lowers opponent's Accuracy.
47,Fly,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn."
48,Focus Energy,Normal,Status,—,—,30,Increases critical hit ratio.
49,Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
50,Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.
51,Glare,Normal,Status,—,100,30,Paralyzes opponent.
52,Growl,Normal,Status,—,100,40,Lowers opponent's Attack.
53,Growth,Normal,Status,—,—,20,Raises user's Attack and Special Attack.
54,Guillotine,Normal,Physical,—,30,5,"One-Hit-KO, if it hits."
55,Gust,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.
56,Harden,Normal,Status,—,—,30,Raises user's Defense.
57,Haze,Ice,Status,—,—,30,Resets all stat changes.
58,Headbutt,Normal,Physical,70,100,15,May cause flinching.
59,High Jump Kick,Fighting,Physical,130,90,10,"If it misses, the user loses half their HP."
60,Horn Attack,Normal,Physical,65,100,25,
61,Horn Drill,Normal,Physical,—,30,5,"One-Hit-KO, if it hits."
62,Hydro Pump,Water,Special,110,80,5,
63,Hyper Beam,Normal,Special,150,90,5,User must recharge next turn.
64,Hyper Fang,Normal,Physical,80,90,15,May cause flinching.
65,Hypnosis,Psychic,Status,—,60,20,Puts opponent to sleep.
66,Ice Beam,Ice,Special,90,100,10,May freeze opponent.
67,Ice Punch,Ice,Physical,75,100,15,May freeze opponent.
68,Jump Kick,Fighting,Physical,100,95,10,"If it misses, the user loses half their HP."
69,Karate Chop,Fighting,Physical,50,100,25,High critical hit ratio.
70,Kinesis,Psychic,Status,—,80,15,Lowers opponent's Accuracy.
71,Leech Life,Bug,Physical,80,100,10,User recovers half the HP inflicted on opponent.
72,Leech Seed,Grass,Status,—,90,10,Drains HP from opponent each turn.
73,Leer,Normal,Status,—,100,30,Lowers opponent's Defense.
74,Lick,Ghost,Physical,30,100,30,May paralyze opponent.
75,Light Screen,Psychic,Status,—,—,30,Halves damage from Special attacks for 5 turns.
76,Lovely Kiss,Normal,Status,—,75,10,Puts opponent to sleep.
