Pokemon,Location,Available in HeartGold,Available in Soulsilver,Appears in Morning,Appears in Daytime,Appears in Nighttime,Rarity,Levels
Pidgey,Route 29,Yes,Yes,Yes,Yes,No,Common,2-4
Sentret,Route 29,Yes,Yes,Yes,Yes,No,Common,2-3
Hoothoot,Route 29,Yes,Yes,No,No,Yes,Common,2-4
Rattata,Route 29,Yes,Yes,Yes,Yes,No,Rare,4
Rattata,Route 29,Yes,Yes,No,No,Yes,Uncommon,2-4
Plusle,Route 29,Yes,Yes,Yes,Yes,Yes,Uncommon,2-3
Minun,Route 29,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Shinx,Route 29,Yes,Yes,Yes,Yes,Yes,Common,2-3
Exeggcute,Route 29,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 29,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 29,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 29,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 29,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Caterpie,Route 30,Yes,No,No,Yes,No,Common,2-4
Caterpie,Route 30,Yes,No,Yes,No,No,Common,3-4
Weedle,Route 30,No,Yes,Yes,Yes,No,Common,3-4
Pidgey,Route 30,Yes,No,Yes,Yes,No,Common,2-4
Pidgey,Route 30,Yes,Yes,No,Yes,Yes,Common,3-4
Rattata,Route 30,No,Yes,No,No,Yes,Common,3-4
Hoothoot,Route 30,No,Yes,No,No,Yes,Common,3-4
Hoothoot,Route 30,Yes,No,No,No,Yes,Common,4
Ledyba,Route 30,No,Yes,Yes,No,No,Common,3
Spinarak,Route 30,Yes,No,No,No,Yes,Common,2
Metapod,Route 30,Yes,No,Yes,Yes,No,Uncommon,4
Kakuna,Route 30,No,Yes,Yes,Yes,No,Uncommon,4
Pidgey,Route 30,No,Yes,Yes,No,No,Uncommon,4
Linoone,Route 30,Yes,Yes,Yes,Yes,Yes,Uncommon,4
Whismur,Route 30,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Bidoof,Route 30,Yes,Yes,Yes,Yes,Yes,Uncommon,4
Buizel,Route 30,Yes,Yes,Yes,Yes,Yes,Uncommon,2-3
Poliwag,Route 30,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwhirl,Route 30,Yes,Yes,Yes,Yes,Yes,Uncommon,15-32
Poliwag,Route 30,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 30,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 30,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 30,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 30,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 30,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Route 30,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 30,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 30,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 30,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 30,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Caterpie,Route 31,Yes,No,Yes,Yes,No,Common,4-5
Weedle,Route 31,No,Yes,No,Yes,No,Common,4-5
Weedle,Route 31,No,Yes,Yes,No,No,Common,4
Pidgey,Route 31,Yes,No,Yes,Yes,No,Common,3
Pidgey,Route 31,No,Yes,No,Yes,No,Common,4
Rattata,Route 31,Yes,Yes,No,No,Yes,Common,4-5
Hoothoot,Route 31,No,Yes,No,No,Yes,Common,4-5
Ledyba,Route 31,No,Yes,Yes,No,No,Common,4
Spinarak,Route 31,Yes,No,No,No,Yes,Common,3
Metapod,Route 31,Yes,No,Yes,Yes,No,Uncommon,5
Kakuna,Route 31,No,Yes,Yes,Yes,No,Uncommon,5
Pidgey,Route 31,No,Yes,Yes,No,No,Uncommon,5
Bellsprout,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Hoothoot,Route 31,Yes,No,No,No,Yes,Uncommon,5
Linoone,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Whismur,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,3-4
Bidoof,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,3
Buizel,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,4
Poliwag,Route 31,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwhirl,Route 31,Yes,Yes,Yes,Yes,Yes,Uncommon,15-32
Poliwag,Route 31,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 31,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 31,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 31,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 31,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 31,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Route 31,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 31,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 31,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 31,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 31,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Rattata,Route 32,Yes,No,Yes,Yes,No,Common,4-6
Rattata,Route 32,Yes,No,No,No,Yes,Common,4
Ekans,Route 32,No,Yes,Yes,Yes,Yes,Common,4
Bellsprout,Route 32,Yes,Yes,Yes,Yes,No,Common,6
Wooper,Route 32,Yes,Yes,No,No,Yes,Common,6
Rattata,Route 32,No,Yes,Yes,No,No,Rare,6
Zubat,Route 32,Yes,Yes,Yes,No,Yes,Rare,4
Rattata,Route 32,No,Yes,No,Yes,No,Uncommon,4-6
Bellsprout,Route 32,Yes,Yes,No,No,Yes,Uncommon,6
Mareep,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Hoppip,Route 32,Yes,Yes,Yes,Yes,No,Uncommon,6
Linoone,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Whismur,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,4-6
Bidoof,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Buizel,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,4-6
Qwilfish,Route 32,Yes,Yes,Yes,Yes,Yes,Common,20-40
Tentacool,Route 32,Yes,Yes,Yes,Yes,Yes,Common,10-20
Quagsire,Route 32,Yes,Yes,Yes,Yes,Yes,Common,15-25
Tentacruel,Route 32,Yes,Yes,Yes,Yes,Yes,Uncommon,15-36
Tentacool,Route 32,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 32,Yes,Yes,Yes,Yes,Yes,Rare,40
Qwilfish,Route 32,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,Route 32,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 32,Yes,Yes,Yes,Yes,Yes,Common,20
Qwilfish,Route 32,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Route 32,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,Route 32,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Route 32,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 32,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 32,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Rattata,Route 33,Yes,No,No,Yes,Yes,Common,4-7
Rattata,Route 33,Yes,No,Yes,No,No,Common,6-7
Ekans,Route 33,No,Yes,Yes,Yes,No,Common,7
Zubat,Route 33,Yes,No,No,No,Yes,Common,4-8
Hoppip,Route 33,Yes,Yes,Yes,Yes,No,Common,6-8
Zubat,Route 33,Yes,Yes,Yes,No,No,Rare,4
Rattata,Route 33,No,Yes,No,Yes,No,Uncommon,4-6
Rattata,Route 33,No,Yes,Yes,No,No,Uncommon,6
Spearow,Route 33,Yes,Yes,Yes,Yes,No,Uncommon,6
Plusle,Route 33,Yes,Yes,Yes,Yes,Yes,Uncommon,6-7
Minun,Route 33,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Shinx,Route 33,Yes,Yes,Yes,Yes,Yes,Common,6-7
Spearow,Route 33,Yes,No,Yes,Yes,Yes,Limited,2-8
Aipom,Route 33,Yes,No,Yes,Yes,Yes,Limited,3-8
Heracross,Route 33,Yes,No,Yes,Yes,Yes,Limited,2-5
Rattata,Route 34,Yes,Yes,Yes,Yes,Yes,Common,11-13
Drowzee,Route 34,Yes,Yes,Yes,Yes,Yes,Common,10-12
Ditto,Route 34,Yes,Yes,Yes,Yes,Yes,Rare,10
Abra,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,10
