TM,Move,Effect,Type,Kind,Power,Accuracy,PP,Location
TM01,Focus Punch,A powerful loyalty attack. The user flinches if hit.,Fighting,Physical,150,100,20,Cianwood City Gym
TM02,Dragon Claw,Slashes the foe with sharp claws.,Dragon,Physical,80,100,15,Route 27 Goldenrod City Lottery (Sunday)
TM03,Water Pulse,Attacks with ultrasonic waves. May confuse the foe,Water,Special,60,100,20,Cerulean City Gym
TM04,Calm Mind,Raises SP. ATK and SP. DEF by focusing the mind.,Psychic,Other,--,--,20,Battle Frontier Shop (48 B.P.)
TM05,Roar,Makes the foe flee to end the battle.,Normal,Other,--,100,20,Route 32
TM06,Toxic,Poisons the foe with an intensifying toxin.,Poison,Other,--,85,10,Battle Frontier Shop (32 B.P.)
TM07,Hail,Summons a hailstorm that strikes every turn.,Ice,Other,--,--,10,Mahogany Town Gym
TM08,Bulk Up,Bulks up the body to boost both ATTACK and DEFENSE.,Fighting,Other,--,--,20,Battle Frontier Shop (48 B.P.)
TM09,Bullet Seed,Shoots 2 to 5 seeds in a row to strike the foe.,Grass,Physical,10,100,30,Route 32
TM10,Hidden Power,The effectiveness varies with the user.,Normal,Special,??,100,15,Lake of Rage Celadon City Game Corner (5000 Coins)
TM11,Sunny Day,Boosts the power of FIRE- type moves for 5 turns.,Fire,Other,--,--,5,Goldenrod Radio Tower
TM12,Taunt,Taunts the foe into only using attack moves.,Dark,Other,--,100,20,"Ilex Forest Burned Tower Celadon City Dept. Store (1,500 P)"
TM13,Ice Beam,Blasts the foe with an icy beam that may freeze it.,Ice,Special,95,100,10,Goldenrod Game Corner (10000 Coins) Seafoam Islands
TM14,Blizzard,Hits the foe with an icy storm that may freeze it.,Ice,Special,120,70,5,Goldenrod City Department Store (5500P)
TM15,Hyper Beam,"Powerful, but leaves the user immobile the next turn.",Normal,Special,150,90,5,Goldenrod City Department Store (7500P)
TM16,Light Screen,Creates a wall of light that lowers SP. ATK damage.,Psychic,Other,--,--,30,Goldenrod City Department Store (2000P)
TM17,Protect,"Evades attack, but may fail if used in succession.",Normal,Other,--,--,10,Goldenrod City Department Store (2000P)
TM18,Rain Dance,Boosts the power of WATER- type moves for 5 turns.,Water,Other,--,--,5,Slowpoke's Well
TM19,Giga Drain,An attack that steals half the damage inflicted.,Grass,Special,60,100,10,Celadon City Gym
TM20,Safeguard,A mystical force prevents all status problems.,Normal,Other,--,--,25,Celadon City Department Store (2000P)
TM21,Frustration,An attack that is stronger if the TRAINER is disliked.,Normal,Physical,??,100,20,Goldenrod City Department Store (Show an Unhappy Pokémon to a lady on Sunday) Celadon City Department Store (1000P)
TM22,Solarbeam,"Absorbs light in one turn, then attacks next turn.",Grass,Special,120,100,10,Celadon City Department Store (3000)
TM23,Iron Tail,Attacks with a rock-hard tail. May lower DEFENSE.,Steel,Physical,100,75,15,Olivine City Gym
TM24,Thunderbolt,A strong electrical attack that may paralyze the foe.,Electric,Special,95,100,15,Goldenrod City Game Corner (10000 Coins) Cerulean Cave
TM25,Thunder,A lightning attack that may cause paralysis.,Electric,Special,120,70,10,Goldenrod City Department Store (5500P)
TM26,Earthquake,"A powerful quake, but has no effect on flying foes.",Ground,Physical,100,100,10,Victory Road Battle Frontier Shop (80BP)
TM27,Return,An attack that increases in power with friendship.,Normal,Physical,??,100,20,Goldenrod City Department Store (Show a Happy Pokémon to a lady on Sunday) Celadon City Department Store (1000P)
TM28,Dig,Digs underground the first turn and strikes next turn.,Ground,Physical,80,100,10,National Park Celadon City Department Store (2000P)
TM29,Psychic,A powerful psychic attack that may lower SP. DEF.,Psychic,Special,90,100,10,Saffron City Celadon City Game Corner (10000 Coins) PokéWalker - Edge of the Night Sky Course
TM30,Shadow Ball,Hurls a black blob that may lower the foe's SP. DEF.,Ghost,Special,80,100,15,Ecruteak City Gym Battle Frontier Shop (64 B.P.)
TM31,Brick Break,Destroys barriers such as REFLECT and causes damage.,Fighting,Physical,75,100,15,Battle Frontier Shop (48 B.P.)
